,rooms,bathrooms,parking,precio,latitude,longitude,date_in
0,3,1,True,1800.0,19.362000000000002,99.2252,2020-06-30 03:40:29.302309
1,2,1,False,3200.0,19.343523,99.05176999999999,2020-09-07 21:58:26.147000
2,dos,2,True,27000.0,19.364411999999998,99.28679,2020-10-03 09:32:28.608233
3,3,2,True,8800.0,19.364382,99.28681999999999,2020-12-12 08:14:50.260666
4,dos,3,True,36000.0,19.225096,98.1991,2020-12-13 08:31:08.708283
5,3,2,True,30000.0,19.373072,99.253334,2020-10-11 01:46:41.486535
6,3,2,False,23000.0,19.386392999999998,99.22556,2020-12-02 14:31:29.019640
7,dos,2,True,14500.0,19.384823,99.19393000000001,2020-10-24 23:53:27.131001
8,3.0,1,True,9500.0,19.368,99.219,2020-08-24 18:19:48.119703
9,uno,2,True,19000.0,19.35964,99.19281,2020-08-09 11:09:49.880061
10,3.0,2,True,18000.0,19.365783999999998,99.227776,2020-11-22 11:49:38.103099
11,2.0,2,True,24001.0,19.411920000000002,99.17336999999999,2020-01-20 15:30:33.523854
12,3.0,2,True,25000.0,19.364647,99.16154,2020-12-13 15:02:38.863044
13,3,2,True,12300.0,19.35,99.226,2020-03-06 16:37:54.201082
14,uno,2,False,23000.0,19.374144,99.18221,2020-03-30 02:12:37.989866
15,2,1,True,16000.0,19.35724,99.29786,2020-01-15 02:33:12.384865
16,3,1,True,8500.0,19.3962,99.0963,2020-07-29 03:54:05.897010
17,3.0,2,True,40000.0,19.361988,99.26621999999999,2020-08-28 00:23:17.812656
18,dos,1,True,10000.0,19.3448,99.1551,2020-07-18 03:43:08.693271
19,3.0,2,True,19336.0,17.139689999999998,100.46757,2020-08-31 21:02:57.192690
20,uno y medio,2,True,23750.0,19.38861,99.23928000000001,2020-02-05 02:18:37.516832
21,2.0,3,False,21000.0,19.39281,99.149765,2020-10-31 03:47:25.988607
22,2.0,3,True,28000.0,19.225235,98.19895,2020-08-14 20:56:31.153895
